"Date","Price","Open","High","Low","Vol.","Change %"
"06/15/2025","315.90","318.25","318.75","315.65","4.29K","-0.79%"
"06/08/2025","318.40","315.60","319.85","315.00","4.91K","0.76%"
"06/01/2025","316.00","312.50","322.90","312.25","10.82K","4.09%"
"05/25/2025","303.58","304.35","306.80","303.90","5.33K","-0.20%"
"05/18/2025","304.20","296.95","305.95","296.00","14.81K","2.03%"
"05/11/2025","298.15","304.25","306.55","298.00","8.87K","-2.12%"
"05/04/2025","304.60","309.30","314.50","304.25","10.59K","-1.52%"
"04/27/2025","309.30","323.50","325.05","307.45","6.12K","-4.39%"
"04/20/2025","323.50","326.00","326.30","321.75","2.18K","-0.38%"
"04/13/2025","324.75","327.95","328.55","322.55","2.18K","-0.14%"
"04/06/2025","325.20","324.25","329.70","322.70","6.11K","0.68%"
"03/30/2025","323.00","317.55","328.20","317.40","3.76K","1.57%"
"03/23/2025","318.00","313.00","318.10","312.50","2.59K","1.11%"
"03/16/2025","314.50","309.25","317.15","309.00","7.84K","1.27%"
"03/09/2025","310.55","302.80","314.00","302.35","9.31K","2.73%"
"03/02/2025","302.30","298.55","303.30","298.00","2.94K","-3.63%"
"02/23/2025","313.70","312.45","314.50","312.45","3.23K","0.19%"
"02/16/2025","313.10","313.55","313.55","311.40","6.10K","0.32%"
"02/09/2025","312.10","315.15","315.85","311.00","9.88K","-2.30%"
"02/02/2025","319.45","319.50","324.25","318.40","8.61K","-1.90%"
"01/26/2025","325.64","325.15","326.15","325.15","1.82K","0.21%"
"01/19/2025","324.95","328.00","328.00","320.00","8.25K","-0.21%"
"01/12/2025","325.65","328.50","329.00","325.55","12.60K","-0.52%"
"01/05/2025","327.35","322.45","327.15","322.20","8.02K","0.46%"
"12/29/2024","325.85","321.75","326.50","321.75","4.60K","3.23%"
"12/22/2024","315.65","316.20","316.80","315.90","1.63K","-1.07%"
"12/15/2024","319.05","311.95","318.40","310.95","11.87K","3.54%"
"12/08/2024","308.15","310.25","310.30","303.85","15.79K","-0.11%"
"12/01/2024","308.50","314.30","315.00","305.10","26.33K","-12.28%"
"11/24/2024","351.69","351.95","353.20","349.70","6.98K","0.61%"
"11/17/2024","349.55","344.10","350.25","340.60","9.42K","2.12%"
"11/10/2024","342.30","334.05","343.25","334.05","11.09K","2.96%"
"11/03/2024","332.45","324.50","335.00","323.40","14.32K","2.26%"
"10/27/2024","325.10","312.75","326.50","312.70","7.64K","3.95%"
"10/20/2024","312.75","308.15","314.70","305.85","9.81K","1.39%"
"10/13/2024","308.45","305.45","313.00","304.70","16.63K","1.16%"
"10/06/2024","304.90","285.10","306.00","284.45","25.40K","6.89%"
"09/29/2024","285.25","268.20","290.55","268.20","20.30K","6.26%"
"09/22/2024","268.45","263.70","269.15","262.70","3.72K","1.94%"
"09/15/2024","263.35","254.50","263.55","254.50","4.30K","3.46%"
"09/08/2024","254.55","251.05","255.00","251.00","4.22K","1.54%"
"09/01/2024","250.70","247.45","250.90","246.35","4.79K","5.13%"
"08/25/2024","238.46","238.00","239.40","237.90","1.74K","0.30%"
"08/18/2024","237.75","236.70","238.20","236.25","2.00K","0.44%"
"08/11/2024","236.70","237.80","238.00","235.60","1.83K","-0.40%"
"08/04/2024","237.65","236.00","238.80","236.00","1.97K","0.51%"
"07/28/2024","236.45","231.85","237.40","231.80","1.79K","1.81%"
"07/21/2024","232.25","231.50","232.85","230.35","2.50K","0.52%"
"07/14/2024","231.05","231.35","233.00","230.05","2.99K","-0.06%"
"07/07/2024","231.20","233.20","235.00","231.00","2.37K","-0.86%"
"06/30/2024","233.20","234.00","235.05","232.20","1.95K","3.44%"
"06/23/2024","225.44","226.00","226.50","224.65","2.36K","-0.27%"
"06/16/2024","226.05","225.40","227.50","223.00","3.41K","0.36%"
"06/09/2024","225.25","222.50","225.90","222.00","4.66K","1.21%"
"06/02/2024","222.55","225.75","226.50","221.50","3.72K","0.43%"
"05/26/2024","221.60","223.50","223.50","221.10","2.77K","-0.94%"
"05/19/2024","223.70","225.15","228.00","223.50","3.68K","-0.49%"
"05/12/2024","224.80","225.20","226.85","223.30","3.03K","-0.38%"
"05/05/2024","225.65","229.55","231.05","224.95","4.07K","-1.78%"
"04/28/2024","229.75","232.35","232.50","229.45","3.14K","-1.25%"
"04/21/2024","232.65","234.05","234.65","231.65","1.72K","-0.58%"
"04/14/2024","234.00","233.00","236.55","233.00","2.45K","0.28%"
"04/07/2024","233.35","230.85","233.50","229.15","1.31K","0.82%"
"03/31/2024","231.45","228.50","232.75","228.50","2.95K","-0.29%"
"03/24/2024","232.12","229.05","232.00","228.35","2.12K","1.25%"
"03/17/2024","229.25","229.05","231.00","227.50","4.40K","-0.24%"
"03/10/2024","229.80","230.70","236.55","228.65","5.99K","0.04%"
"03/03/2024","229.70","228.45","231.40","227.30","4.55K","0.81%"
"02/25/2024","227.85","236.55","237.50","225.65","2.79K","-3.70%"
"02/18/2024","236.60","238.40","239.00","236.30","2.87K","-0.61%"
"02/11/2024","238.05","240.20","240.50","237.00","1.59K","-0.77%"
"02/04/2024","239.90","240.50","241.50","238.00","4.04K","-0.15%"
"01/28/2024","240.25","246.90","247.80","236.80","2.15K","-2.54%"
"01/21/2024","246.50","245.70","247.55","244.85","3.88K","0.26%"
"01/14/2024","245.85","247.75","248.50","241.70","5.29K","-0.51%"
"01/07/2024","247.10","245.90","249.35","245.80","4.41K","0.32%"
"12/31/2023","246.30","247.50","248.55","243.60","3.31K","-2.18%"
"12/24/2023","251.79","248.00","252.00","247.10","1.80K","1.39%"
"12/17/2023","248.35","247.50","249.00","245.50","3.21K","0.26%"
"12/10/2023","247.70","247.10","250.10","246.50","4.62K","0.02%"
"12/03/2023","247.65","249.80","251.50","247.00","4.75K","-0.88%"
"11/26/2023","249.85","237.00","250.10","235.00","4.03K","4.87%"
"11/19/2023","238.25","239.75","241.45","237.00","5.71K","-0.69%"
"11/12/2023","239.90","237.50","241.40","237.50","4.91K","0.84%"
"11/05/2023","237.90","235.10","239.45","234.60","5.88K","1.23%"
"10/29/2023","235.00","240.25","240.25","232.65","6.19K","-1.98%"
"10/22/2023","239.75","237.75","240.60","236.75","5.14K","0.80%"
"10/15/2023","237.85","239.20","239.80","236.55","8.20K","-0.63%"
"10/08/2023","239.35","241.80","245.75","238.75","7.93K","-0.93%"
