CO_ANO;CO_MES;CO_NCM;CO_PAIS;SG_UF_NCM;KG_LIQUIDO;VL_FOB;CATEGORIA
2020;1;15021011;240;SP;26241;23355;Produtos Bovinos
2020;3;15021011;160;GO;2118;12665;Produtos Bovinos
2020;3;41071110;249;RS;21;1767;Produtos Bovinos
2020;1;41071110;647;RS;216;4092;Produtos Bovinos
2020;12;15021011;160;SP;2952;16174;Produtos Bovinos
2020;4;15021011;240;SP;27976;23500;Produtos Bovinos
2020;5;15021011;160;RO;2271;11186;Produtos Bovinos
2020;5;41071110;245;SP;19800;30271;Produtos Bovinos
2020;3;15021011;160;RO;2060;14250;Produtos Bovinos
2020;12;41071110;249;RS;923;6997;Produtos Bovinos
2020;9;15021011;160;SP;1412;6926;Produtos Bovinos
2020;4;15021011;455;RO;56058;35146;Produtos Bovinos
2020;6;15021011;351;SP;69;155;Produtos Bovinos
2020;6;15021011;431;MT;28004;25204;Produtos Bovinos
2020;2;41071110;160;RS;31;4995;Produtos Bovinos
2020;5;41071110;160;RS;5;1128;Produtos Bovinos
2020;7;15021011;431;MT;27863;27979;Produtos Bovinos
2020;9;15021011;160;PA;978;3834;Produtos Bovinos
2020;4;15021011;160;RO;4067;20459;Produtos Bovinos
2020;12;15021011;240;RO;28005;28565;Produtos Bovinos
2020;5;15021011;160;GO;1880;10601;Produtos Bovinos
2020;6;15021011;240;SP;27791;21955;Produtos Bovinos
2020;7;41071110;351;RS;90;2946;Produtos Bovinos
2020;9;15021011;160;RO;4140;20461;Produtos Bovinos
2020;2;15021011;160;GO;28359;18207;Produtos Bovinos
2020;7;15021011;160;RO;3488;15337;Produtos Bovinos
2020;11;15021011;160;RO;2005;11031;Produtos Bovinos
2020;3;15021011;383;PR;19878;24564;Produtos Bovinos
2020;11;15021011;160;PA;104;450;Produtos Bovinos
2020;2;15021011;383;PR;18468;22630;Produtos Bovinos
2020;4;41071110;160;RS;9;1337;Produtos Bovinos
2020;4;15021011;383;SP;1967;1771;Produtos Bovinos
2020;7;41071110;365;RS;142;20361;Produtos Bovinos
2020;4;15021011;240;RO;28003;24922;Produtos Bovinos
2020;3;15021011;455;SP;27881;18179;Produtos Bovinos
2020;11;15021011;240;RO;18012;12609;Produtos Bovinos
2020;5;41071110;858;RS;110;16995;Produtos Bovinos
2020;4;15021011;383;PR;8078;13950;Produtos Bovinos
2020;4;41071110;351;RS;235;37178;Produtos Bovinos
2020;10;15021011;160;GO;2000;9813;Produtos Bovinos
2020;4;15021011;431;MT;26785;26819;Produtos Bovinos
2020;1;15021011;383;PR;19760;24699;Produtos Bovinos
2020;3;15021011;383;SP;8281;7452;Produtos Bovinos
2020;12;15021011;160;RO;5834;31664;Produtos Bovinos
2020;12;15021011;160;PA;772;3151;Produtos Bovinos
2020;6;15021011;240;RO;27408;21652;Produtos Bovinos
2020;6;41071110;351;RS;309;10094;Produtos Bovinos
2020;12;41071110;160;RS;2;427;Produtos Bovinos
2020;7;15021011;383;PR;17127;18067;Produtos Bovinos
2020;11;15021011;383;PR;3167;2692;Produtos Bovinos
2020;11;15021011;160;PA;997;4351;Produtos Bovinos
2020;6;15021011;160;GO;1920;9824;Produtos Bovinos
2020;5;41071110;647;SP;10;123;Produtos Bovinos
2020;10;15021011;160;SP;2597;12869;Produtos Bovinos
2020;8;15021011;240;SP;27539;21756;Produtos Bovinos
2020;2;41071110;365;RS;15;2165;Produtos Bovinos
2020;2;41071110;858;RS;53;8407;Produtos Bovinos
2020;11;15021011;160;GO;7574;41493;Produtos Bovinos
2020;1;15021011;383;SP;2051;1846;Produtos Bovinos
2020;4;15021011;160;GO;914;4953;Produtos Bovinos
2020;9;15021011;383;PR;19285;21418;Produtos Bovinos
2020;11;15021011;240;MT;10011;7007;Produtos Bovinos
2020;11;15021011;160;SP;2994;16381;Produtos Bovinos
2020;8;15021011;160;GO;1539;7506;Produtos Bovinos
2020;6;15021011;240;GO;27895;24827;Produtos Bovinos
2020;8;15021011;240;RO;27324;21586;Produtos Bovinos
2020;10;15021011;383;PR;1012;1138;Produtos Bovinos
2020;6;15021011;431;MT;82595;82843;Produtos Bovinos
2020;6;15021011;160;RO;4495;23283;Produtos Bovinos
2020;7;15021011;160;SP;1194;5252;Produtos Bovinos
2020;2;41071110;365;RS;218;30467;Produtos Bovinos
2020;8;15021011;383;PR;15988;16946;Produtos Bovinos
